,author,date,stars,review_body
0,Stacey P.,2019-03-09,5.0,"Thank you Yelp for recommending Lovina.

Myself and two friends were hungry, out of town visitors, and clueless where to eat. With such glowing reviews figured it was well worth the shot! I would not have found it otherwise because I must admit when we parked behind the restaurant and there was little signage and it looked like a house I was skeptical.

My skepticism melted upon entering and being warmly greeted immediately. It was just damn nice. We were seated promptly and our server was charming, welcoming, and just delightful. 

I ordered the cheeseburger, my friend ordered the cheese sandwich, and my other friend ordered the eggs and bacon. I was quite impressed when the orders came out. The portions are huge! That grilled cheese was the thickest, cheesiest sandwich I've ever seen. It ooooooozed cheese! The bread was hearty. It was just giant! My cheeseburger was also amazing - a perfect bun to meat ratio. It was oh so juicy, perfectly seasoned, fantastic cheese, and so very delicious. 

I was incredibly happy with our stop here! Highly recommend."
1,Cathy H.,2019-03-05,5.0,"Delicious local-feeling place! The daily focaccia (ours was dill) is amazing and the dipping sauce is super tasty too, with some good heat to it. The fried polenta bite appetizer is a must have with one of the best sauces I've ever eaten.

We shared the appetizers, a salad, entree and dessert and it was plenty of food for two. The green salad had a lovely, light crisp dressing with tasty pickled veggies.

For an entree we got the bolognese made dirty which is for sure the way to go. And dessert was a lemon tart with creme anglaise - rich and delicious!

The dining room has a nice cozy vibe that seems like it keeps people coming back; several tables seemed to be regulars, ordering without looking at the menu and catching up with the staff. We'll be back the next time we're in Calistoga, too!"
2,Himanshu K.,2018-11-24,5.0,"Amazing place

Definitely try the French Toast, the bread is amazing...everything is Very fresh and the place carries a nice vibe to it!

Its a first date place"
3,Sylvia E.,2019-03-02,5.0,"Little gem in Calistoga!  Delicious food and very attentive service.  One of the wineries we had visited recommended we try the cheese dip and it did not disappoint - super cheesy and full of flavor.  We also had the grilled cheese sandwich, Susie's remedy, duck and kale salad, and pork and beef bolognese pasta dish.  But have to say my favorite was dessert - the hot mess was amazing!  Brownie topped with pistachio ice cream, caramel sauce and toasted marshmallows."
4,Mary M.,2019-03-10,5.0,Great food and great service. The location is wonderful. We tried the cioppino it was so very good.  Will definitely come back here again.
5,Jim B.,2019-03-10,5.0,This was a real treat! We went for lunch and I had the best grilled cheese sandwich and best tomato soup ever! We tried all three appetizers of the day. They were all great! Service was top notch! Food was excellent! Chef even shared his winter vegetable kimchi recipe with us.
6,Nancy C.,2018-08-06,5.0,"Quick take: all day brunch spot


Love, love this cute spot! Super friendly and attentive staff. Indoor or outdoor dining is available. We ate at an off peak time so it wasn't crowded at all. 

Their menu looks delicious. We ordered 2 B.L.T.'s and a Susie's Remedy. Really good sandwiches and brunch food. 

A lot of special little touches in the decor. 

Highly recommend this spot!"
7,Jason S.,2018-08-09,5.0,"How is this spot only 4 stars? I constantly complain that finding a stellar brunch spot is nearly impossible. It's easy to find a good brunch place, but never an amazing one. But Lovina is the exception to the rule. Plus it's pretty darn affordable for the area. 

We tried multiple dishes and seriously all of them blew us away. The breakfast burrito with their house made salsa and duck fat fries was just killer. Seriously gonna be one of the highlights of the trip. The avocado toast with lox atop an everything-seeded crostini had unreal mouthfeel. The French toast was savory and sweet at the same time. Even the burger was perfectly tender. 

Stop by when coming through Calistoga, it can't disappoint."
8,Annie B.,2019-03-02,5.0,"Delicious brunch spot. Service was excellent and attentive. The highlight was the French toast. My partner remarked that is rare to have French toast be thick sliced, well soaked in custard and yet not be mushy.  Everything we ate was well done. Oh yeah don't forget to say yes to the duck fat potatoes. No good stories ever start with salad."
9,Susan C.,2018-05-28,5.0,"Absolutely excellent!  Stumbled, please do not think I really stumbled. But found Lovina simply because we were across the street at a Mexican restaurant and could not get served.  Memorial weekend in Calistoga is burdened with the fact they cannot get enough help to serve all who are partaking:)

We were incredibly luck to chose Lovina.  Great welcome and immediately seated outside on a lazy sunny Calistoga Sunday night.

Oh, the menu...my sister-in-law (German by birth) chose the spatzel and a dusting of red cabbage.Flavorful and comforting.  I had the risotto. Full of my favored veggies and creamy perfectly c"
10,Tom B.,2019-03-04,3.0,"I've been looking forward to dining here after the change from the very good Calistoga Kitchen but was not impressed. Three prawns in an  admittedly tasty cocktail sauce were followed by an over cheesed risotto. The cheese actually congealed on the plate as it cooled. My partner enjoyed her Chicken Tiki Yum Yum. However, the bread pudding was dry and the waitress volunteered to bring us a Hot Mess, which is appropriately named. I'll return for a second try and hope to update my review b"
11,Kat S.,2018-02-28,5.0,"Loved this place! We came here for breakfast Saturday morning around 10am and it was empty. People started pouring in after 11am. 

Very pretty, fresh, airy decor for cute photo ops. Vegetarian friendly. I had their French Toast and kimchi bread, and even I wasn't crazy about the bread, the french toast was amazing! 

Service was super-friendly and swift. I'd come back here for sure when next time in Calistoga!"
12,Derek C.,2018-12-04,5.0,Oh heavenly French Toast... thank you for your deliciousness. Please bless us with your presence once more.
