,author,date,stars,review_body
0,"data-hovercard-id=""6X2LpytOOFKN21lDLCmkPw"">Bella C.","
        6/4/2016
    ",1.0,This review has been removed for violating our Terms of Service
1,"data-hovercard-id=""6X2LpytOOFKN21lDLCmkPw"">Bella C.","
        5/30/2016
    ",1.0,This review has been removed for violating our Terms of Service
2,"data-hovercard-id=""ZPP6RqeqUF7a-DF7u7ycJw"">Lemon T.","
        11/9/2015
    ",1.0,This review has been removed for violating our Terms of Service
3,"data-hovercard-id=""3GJlz2aAfe9nF6IWz-iEYg"">Alex L.","
        11/8/2015
    ",1.0,This review has been removed for violating our Terms of Service
4,"data-hovercard-id=""zT546Ie-8llJhW2BazfDtg"">Andrea R.","
        11/6/2015
    ",1.0,This review has been removed for violating our Terms of Service
5,"data-hovercard-id=""47u_vSO99daeKLFLf6I6VQ"">Nina B.","
        11/5/2015
    ",1.0,This review has been removed for violating our Terms of Service
6,"data-hovercard-id=""Yp8L5_paBztA7Mjx52sIKA"">Griselda R.","
        11/5/2015
    ",1.0,This review has been removed for violating our Terms of Service
7,"data-hovercard-id=""e9GVsuAhWG0M4wFtj9dCGg"">Thao T.","
        9/1/2014
    ",1.0,This review has been removed for violating our Terms of Service
8,"data-hovercard-id=""U5XF-4nxobr_frJw-gdhNA"">Catherine C.","
        4/3/2012
    ",1.0,This review has been removed for violating our Terms of Service
9,"data-hovercard-id=""Cd1flZUdCzTpKQpB-kE4Jg"">Carter L.","
        8/24/2017
    ",3.0,This review has been removed for violating our Terms of Service
10,"data-hovercard-id=""IPbvDk7Jc9Ocp29pd6A9nQ"">Gerald L.","
        6/15/2014
    ",2.0,Had my Father's Day brunch and waited for 1 and half hour to be seated. The food was pretty disappointed. I think this place is overrated. Not the best I have ever tried.
11,"data-hovercard-id=""f3Lad7zNsPnvcyYWg3Tkkw"">Krishna D.","
        4/10/2014
    ",2.0,Overrated!
12,"data-hovercard-id=""b5ivKffoYO2_gmc0MPnozA"">Nica L.","
        11/15/2010
    ",2.0,This place is good. Except the one time I got glass in my eggs.
13,"data-hovercard-id=""QXBcpOROr3SdhaCiTztOkw"">Mirabel L.","
        12/20/2009
    ",2.0,"The food is actually pretty good, but the services mediocre at best. <br/>There is always a wait"
14,"data-hovercard-id=""aS1UHHJ4hV-q2FCAOabswg"">Rachel C.","
        11/11/2009
    ",2.0,"The food is super yummy, but they are not that nice or accomadating. One of my dearest friends was in town visiting. She has food allergies and asked if she could have sauteed or steemed veggies they not only said no, but they were rude when they said no. It was as if this request for veggies was a personal insult to them or their menu. I haven't gone back since"
15,"data-hovercard-id=""lFviuaiGd-gJPUtFSlmHrQ"">Emily B.","
        10/17/2008
    ",2.0,"I have been to zazie's about five times in the last three years and every time I go I hope that the service is better than the last. Now don't get me wrong, the food is great, but the service is lousy. I always order coffee and I am never offered a refill, the wait staff drops the bill without ever checking back or asking if I need anything else, my water goes empty, the list goes on. I hope this gets better because I really want to like this place."
